"Breakfast Sandwiches"
"Everything Bagel, Steak, Egg & Cheese", "$4.99",
"Asiago Bagel, Egg & Cheese", "$3.89",
"Asiago Bagel, Bacon, Egg & Cheese", "$4.29",
"Bacon, Egg & Cheese", "$4.09",
"Egg & Cheese", "$3.99",
"French Toast Bagel Breakfast Sandwich", "$4.29",
"Mediterranean Egg White Breakfast Sandwich", "$4.59",
"Power Breakfast Sandwich", "$4.09",
"Sausage, Egg & Cheese", "$4.09",

"Breakfast Baked Egg Souffles"
"Four Cheese", "$4.09",
"Roasted Tomato & Feta Baked Egg Souffle", "$3.99",
"Spinach & Artichoke", "$4.09",
"Spinach & Bacon", "$4.09",

"Breakfast Bakery"
"Bagel Pack", "$13.99",
"Bagels and Morning Pastries", "$26.99",
"Morning Continental", "$49.99",
"Morning Pastries", "$26.99",

"Breakfast Parfaits, Fruit Bowls and Oatmeal"
"Fruit Bowl - Large", "$29.99",
"Fruit Bowl - Small", "$22.99",
"Oatmeal with Strawberries & Pecans", "$4.19",
"Strawberry Granola Parfait", "$29.99",

"Salads Premium Signature Salads"
"Chicken Cobb with Avocado", "$49.99",

"Salads Signature Salads"
"Asian Sesame Chicken", "$44.99",
"Chicken Caesar", "$44.99",
"Fuji Apple Chicken", "$44.99",
"Greek with Shrimp Salad", "$54.99",
"Mediterranean Shrimp Couscous Salad", "$54.99",
"Spinach Power", "$44.99",
"Thai Chicken", "$49.99",

"Salads Cafe Salads"
"Caesar", "$39.99",
"Classic", "$39.99",
"Classic with Chicken", "$49.99",
"Greek", "$39.99",
"Greek with Chicken", "$49.99",

"Cafe Soups for a Group"
"Mac & Cheese", "$19.99",
"All-Natural Bistro French Onion Soup", "$13.99",
"All-Natural Chicken Noodle (Low-Fat)", "$13.99",
"Black Bean (Low-Fat & Vegetarian)", "$13.99",
"Broccoli Cheddar", "$13.99",
"Cream of Chicken & Wild Rice", "$13.99",
"Creamy Tomato (Vegetarian)", "$13.99",
"Turkey Chili", "$18.99",

"Beverages Hot Drink Totes"
"Dark Roast Coffee", "$16.99",
"Decaf Coffee", "$16.99",
"Hazelnut Coffee", "$16.99",
"Hot Chocolate with Chocolate Chip Marshmallows", "$14.99",
"Hot Tea", "$16.99",
"Light Roast Coffee", "$16.99",

"Sodas"
"Diet Pepsi: 2-Liter", "$2.99",
"Pepsi: 2-Liter", "$2.99",
"Sierra Mist: 2-Liter", "$2.99",

"Individual Soda & Water"
"Diet Pepsi: 20 fl oz.", "$1.99",
"Individual Bottle of Water", "$1.99",
"Pepsi: 20 fl oz.", "$1.99",
"Sierra Mist: 20 fl oz.", "$1.99",

"Cold Drink Totes"
"Acai Berry Tote", "$9.99",
"Green Tea Tote", "$9.99",
"Hibiscus Tea Tote", "$9.99",
"Iced Green Tea (2 Containers)", "$11.99",
"Iced Tea (2 Containers)", "$11.99",
"Iced Tea Unsweetened", "$9.99",
"Lemonade (2 Containers)", "$11.99",
"Premium Orange Juice(2 Containers)", "$16.99",
"Sweet Tea Tote", "$9.99",

"Sweets"
"Brownies", "$14.49",
"Cupcakes - 4 Count", "$14.49",
"Cinnamon Crumb Coffee Cake Whole", "$14.99",
"Cookies", "$12.49",
"Cookies & Brownies", "$13.49",

"Sides"
"Apple", "$1.00",
"Chips", "$0.85",
"French Baguette", "$0.79",
"Whole Grain Baguette", "$0.79",
"Baked Chips", "$0.99",

"Spreads"
"Plain Cream Cheese - Tub", "$2.99",
"Reduced Fat Cream Cheese - Tub", "$2.99",
"Chive and Onion Cream Cheese - Tub", "$2.99",
"Hazelnut Cream Cheese - Tub", "$2.99",
"Honey Walnut Cream Cheese - Tub", "$2.99",
"Reduced-Fat Roasted Veg - Tub", "$2.99",
"Wild Blueberry Cream Cheese - Tub", "$2.99",
